20230512 com.sparta.mc.AppLogger INFO This is an Info message
20230512 com.sparta.mc.AppLogger WARNING This is a Warning message
20230512 com.sparta.mc.AppLogger FINE This is a Fine message
20230512 com.sparta.mc.AppLogger INFO This is an Info message
20230512 com.sparta.mc.AppLogger WARNING This is a Warning message
20230512 com.sparta.mc.AppLogger FINE This is a Fine message
20230512 com.sparta.mc.AppLogger INFO No:of records retrieved 50
20230512 com.sparta.mc.AppLogger WARNING No:of records retrieved 50
20230512 com.sparta.mc.AppLogger FINE No:of records retrieved 50
20230512 com.sparta.mc.AppLogger INFO No:of records retrieved 50
20230512 com.sparta.mc.AppLogger WARNING No:of records retrieved 50
20230512 com.sparta.mc.AppLogger FINE No:of records retrieved 50
20230512 com.sparta.mc.AppLogger INFO Bad Record
20230512 com.sparta.mc.AppLogger WARNING Bad Record
20230512 com.sparta.mc.AppLogger FINE Bad Record
20230512 com.sparta.mc.AppLogger INFO No:of records retrieved 50
20230512 com.sparta.mc.AppLogger WARNING Bad Record
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
20230512 com.sparta.mc.AppLogger FINE Last Names added
